frame.len,frame.time_delta,ip.hdr_len,ip.len,ip.flags.mf,ip.flags.rb,ip.flags.df,ip.ttl,ip.proto,udp.length,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,arp.opcode,arp.hw.size,arp.pro.size,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,mqtt.msg,mqtt.msgtype,mqtt.retain,mqtt.proto_le,mqtt.hdrflags,mqtt.conflags,coap.code,coap.type,modbus.func_code,modbus.regval_uint16,modbus.reference_num,http.content_length,http.request.method,dns.count.answers,mbtcp.len,label
907,1.26026866066182,20,829,0,0,0,59,6,10,62750,0,1333,1259164559,0,0,1,1,1,0,0,0,0,0,2368393,0,0,0,0,1,0,0,0,0,22,0,1452,1,0,3,Normal
939,1.4246317251852088,20,1006,0,0,0,60,17,1148,32285,4855,0,12142858,0,0,0,0,0,0,0,0,805,0,0,0,0,0,0,1,0,3,3,0,159,21,28,0,0,1,Normal
411,0.5784250577996128,20,384,0,0,1,63,6,6,40890,30220,850,1297453957,1,1,0,0,1,0,0,0,0,2,3474043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
943,0.2124664199965298,20,929,0,0,0,63,6,7,15562,29112,856,341410328,1,1,1,0,1,0,0,0,0,2,417701,0,0,0,0,0,0,0,0,0,317,210,71,0,0,3,Normal
721,0.7031304540610799,20,703,0,0,1,255,1,36,0,0,28,25577043,0,0,0,0,0,0,0,0,28813,249,374797982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Normal
624,0.8492590742697794,20,626,0,0,1,120,6,0,28338,0,822,2078385873,0,1,1,1,1,0,0,0,328,0,20978081,0,0,0,0,6,0,0,0,0,0,224,0,0,0,0,Scanning
80,0.760662,20,66,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18953,29,254892732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1086,0.4527112680315636,20,1111,0,0,1,32,6,13,12224,6461,1226,216306316,1,1,0,1,1,0,0,0,0,4,0,2,0,0,0,3,0,2,0,0,948,336,59,0,0,0,Scanning
216,1.4641715174656098,20,182,0,0,0,255,6,15,11097,318,1126,1695602195,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,Normal
734,1.347378,20,720,0,0,1,32,17,313,38999,14576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
