srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
175.97.136.74,30054,175.253.195.34,757,tcp,CON,18.149954822402805,35691,93910,70,254,1,3,ssh,8060098.236936978,597549.2107020745,65,62,60201,32951,1901739541,115913955,519.988220356801,1854.5807042474585,1,2663,98.33356118953878,39.784982954389754,1422171455,1422173185,355.1937274052107,358.5985457062298,0.3696735719559243,0.07432248774000608,0.02401879290753091,0,0,0,0,0,2,11,8,16,6,10,20,Normal,0
175.104.217.143,20455,175.93.51.73,18232,udp,REQ,15.690002028362596,81838,50508,253,254,1,3,http,9302556.992550788,6975716.875583098,55,108,0,0,0,73790499,1330.5345514240503,884.112454669292,3,3609,73.36061279390387,30.427954622514985,1422361309,1422390625,86.17248049576915,2.6109137592762863,0.0019011852836954024,0.0017902313538558623,0.004531969784193923,0,2,4,0,0,6,11,10,7,2,9,7,Backdoor,1
175.172.8.18,53740,175.240.48.213,118,udp,FIN,8.858968827111092,44043,99049,123,254,0,4,http,7705251.222796175,5060006.274847459,6,105,709,122,26911161,0,3003.7532997453654,756.1072607180758,2,3762,49.72037129699536,64.09855821237386,1422061035,1422066211,420.32000148003806,472.11977701692757,0.004520395154631039,0.0,0.0030783313781163517,0,0,0,0,0,8,2,1,5,2,6,14,DoS,1
175.146.8.129,59672,175.220.91.28,1631,tcp,FIN,4.922039118688668,25391,82114,127,131,2,3,dns,630326.3132935843,9704004.602875989,123,143,32801,29093,279773221,1820743362,281.8210014249854,873.7746174751468,3,4443,46.371064308855296,61.90073227628963,1422097932,1422118257,30.939458404017834,415.79669217634523,0.3262252585108888,0.10062438246689467,0.2896703276129738,0,0,0,0,0,17,2,8,7,10,8,9,Fuzzers,1
175.129.78.184,30274,175.216.193.19,21,icmp,INT,14.498482833908062,49769,72226,252,32,2,5,ssh,9223997.190298585,5334518.285156297,159,21,0,849,0,0,641.6076633071871,3106.6726210165643,0,2005,67.49056239895816,36.272560265658406,1421986646,1421994015,281.99995890228246,330.4068807427017,0.006998164893042959,0.0032030190517249976,0.0,0,5,0,0,0,13,11,14,4,1,2,9,Normal,0
175.201.76.29,47473,175.100.164.75,51912,tcp,RST,2.9343224585604757,81929,65228,32,247,1,2,dns,8523017.183679935,2005327.3364034614,69,135,3392,64495,560055165,2806381494,1117.7576457442945,469.52197059679236,5,2419,26.054544512107768,99.6154,1422270054,1422285393,25.773857146488538,373.6454942965169,0.3731767452089921,0.1388103115922703,0.01981785158323469,0,4,0,0,0,2,5,20,1,10,1,10,DoS,1
175.86.180.44,61249,175.71.250.48,425,udp,REQ,29.983354,6738,69057,32,33,5,0,-,7579929.420923705,4163573.7225232935,165,63,1066,87,64479345,0,70.52174072886064,652.4721088880476,0,1234,0.4603,48.720290852035795,1422329975,1422346874,29.176716439907754,316.02255186521677,0.003492927968064989,0.010274693359197513,0.0,0,4,0,0,0,15,16,1,2,9,9,14,Normal,0
175.198.164.130,42045,175.196.214.251,936,icmp,CON,22.752261958728948,37989,51405,130,125,3,1,ftp,1320497.1758059326,5953125.4443442905,195,132,582,0,98172873,20599190,266.5242837518303,964.9413151445988,2,4424,86.08824430642068,71.9242291176336,1422522940,1422544459,310.5462849468973,108.0689895102402,0.0,0.0018526675714478115,0.0,0,4,0,0,0,12,5,6,17,9,6,4,Normal,0
175.207.128.135,57655,175.208.85.129,928,icmp,RST,23.5582451849334,28175,9900,126,132,0,4,-,8948024.160906196,4043160.2718970412,77,96,1324,0,0,54257367,141.15114615447933,288.7193202815087,0,2593,45.348321438395836,77.93374432406796,1422159079,1422153217,223.54339637041738,327.8162199852569,0.0,0.0006101327822396377,0.0037172210423645235,0,1,0,0,0,15,19,5,10,7,4,5,Fuzzers,1
175.214.87.147,48945,175.174.251.201,25,tcp,CON,13.13793,99376,55839,64,64,0,4,dns,1772166.084,6815317.4218,82,105,3821,44364,3222390388,98435007,1211.9,531.8,5,4821,54.4598,63.665,1422349760,1422362897,340.3727,497.2338,0.226787,0.210033,0.120798,0,3,0,0,0,8,13,17,5,1,6,1,Normal,0
